stop_id,stop_name,stop_desc,stop_lat,stop_lon
2000502,KLINIK KESIHATAN PERMATANG BADAK,JLN PERMATANG BADAK,3.7912275244552,103.26779762375
2000515,KAMPUNG PERMATANG BADAK,JLN PERMATANG BADAK,3.7949039412164,103.26580980629
2000516,RESTORAN ALI HAJ,JLN PERMATANG BADAK BARU 2,3.7991066940373,103.26474814989
2000512,(M) SMK BUKIT RANGIN,JLN PERMATANG BADAK BARU 3,3.8015398154988,103.26954152386
2000554,TADIKA SERI ANAKKU,JLN PERMATANG BADAK BARU 3,3.7998913574147,103.27271362834
2000511,LOT KEDAI,JLN SG.ISAP DAMAI 7,3.7974568801583,103.27624737762
2000513,TANGKI AIR,JLN SG. ISAP 5,3.7934718873904,103.27769564612
2000509,PADANG BOLA,JLN SG. ISAP 4,3.7925353492331,103.27513185297
2000507,SUNGAI ISAP PERDANA,JLN SG. ISAP 4,3.7910353622478,103.27569296637
2000505,DEWAN SERI MENTIGA,JLN SG. ISAP 4,3.7876111634703,103.27721212155
2000508,SUNGAI ISAP 3,JLN SG. ISAP 4,3.7856685591588,103.27801715936
2000514,PENCAWANG TNB,JLN SG. ISAP 4,3.7828494452096,103.27914800067
2000098,SUNGAI ISAP/TOYOYA,JLN GAMBANG,3.781507,103.282176
2000382,TUNAS MANJA,JLN GAMBANG,3.7828805727095,103.28571054377
2000307,(M) SK BATU 3,JLN TANAH PUTIH,3.7840530063368,103.2886879787
2000116,TANAH PUTIH BARU,JLN TANAH PUTIH,3.788051688665,103.29870869577
2000297,TANAH PUTIH,JLN TANAH PUTIH,3.7896590923578,103.30216245952
2000043,PASARAYA GIANT,JLN TANAH PUTIH,3.7934207589975,103.31126557187
2000236,KEMUNTING,JLN TANAH PUTIH,3.796170910043,103.31643665853
2000154,HOSPITAL TENGKU AMPUAN AFZAN,JLN TANAH PUTIH,3.8004608487867,103.32288317591
2000014,KOMPLEKS TERUNTUM/IPD KUANTAN,JLN MAHKOTA,3.803174,103.324399
2000267,IBU PEJABAT POLIS KONTINJEN PAHANG,JLN MERDEKA,3.8097340263436,103.32959924464
2000012,LKPP,JLN GAMBUT,3.8111689940644,103.32812003164
2000193,UTC KUANTAN,JLN STADIUM,3.813708,103.324358
2000841,(M) RTC,JLN KUALA PAHANG-TANAH PUTIH,3.5316060905358,103.46097898618
2000842,PERKAMPUNGAN NELAYAN,JLN KUALA PAHANG-TANAH PUTIH,3.5334186842456,103.45786182769
2000843,KG. MARHUM,JLN KUALA PAHANG-TANAH PUTIH,3.5328993513533,103.45555856202
2000844,MAKAM DIRAJA KG. MARHUM,JLN KUALA PAHANG-TANAH PUTIH,3.5306583193029,103.45122405169
2000845,SK INDERA SHAHBANDAR,JLN KUALA PAHANG-TANAH PUTIH,3.5294142926789,103.44821097281
2000846,TAMAN MELUR,JLN KUALA PAHANG-TANAH PUTIH,3.5320927683648,103.44375131373
2000901,UNIVERSITI MALAYSIA PAHANG (PEKAN),JLN KUALA PAHANG-TANAH PUTIH,3.5464039764842,103.43553693512
2000847,SMK INDERA SHAHBANDAR,JLN KUALA PAHANG-TANAH PUTIH,3.5499468224128,103.43421689449
2000848,SIMPANG KAMPUNG SERANDU,JLN KUALA PAHANG-TANAH PUTIH,3.5752447796578,103.42021393914
2000849,KLINIK DESA TANJUNG SELANGOR,JLN KUALA PAHANG-TANAH PUTIH,3.586082523769,103.41187859847
2000850,SEKOLAH KEBANGSAAN SERANDU,JLN KUALA PAHANG-TANAH PUTIH,3.5872658675094,103.41110248555
2000851,KAMPUNG SERANDU,JLN KUALA PAHANG-TANAH PUTIH,3.5965255882339,103.40547891352
2000335,PONDOK POLIS CHEROK PALOH,JLN CHEROK PALOH,3.6163969055867,103.37659603578
2000428,SURAU AL HIJRAH,JLN CHEROK PALOH,3.6327168703838,103.36482051698
2000005,PLKN,JLN KUANTAN-CHEROK PALOH,3.6339542066833,103.36394518538
2000283,KAMPUNG HIJRAH,JLN PANTAI SEPAT,3.6379719656403,103.36038250798
2000446,KLINIK DESA PENOR,JLN PANTAI SEPAT,3.6561708745132,103.3526624537
2000363,PADANG BOLA,JLN PANTAI SEPAT,3.6583948993077,103.35233434731
2000403,MENARA TM,JLN PANTAI SEPAT,3.6622004816725,103.35146326695
2000328,THE SADDLE RESORT,JLN PANTAI SEPAT,3.6889330857799,103.34225060493
2000224,PANTAI SEPAT 2,JLN PANTAI SEPAT,3.6936312085501,103.33994649343
2000189,PANTAI SEPAT 1,JLN PANTAI SEPAT,3.6967663627233,103.33844640154
2000498,MASJID PANTAI SEPAT,JLN PANTAI SEPAT,3.700271598566,103.33658554075
2000301,MABIQ,JLN PANTAI SEPAT,3.7059513195152,103.32735725372
2000349,LRG CEMPAKA 5,JLN PANTAI SEPAT,3.7115536160666,103.32503328985
2000108,KAMPUNG CEMPAKA AMAN,JLN PANTAI SEPAT,3.7153134471641,103.32393699545
