stop_id,stop_code,stop_name,stop_lat,stop_lon
12001996,MJM1996,Pangsapuri RPKN,5.395011,100.40444000000001
12002533,ICT0418,Taman Usahaniaga,5.362278,100.465059
12002534,ICT0306,Taman Machang Bubok III,5.342005,100.50447
12000802,MDA0802,Cheruk Tokun,5.34746,100.4846
12000840,MDK0840,SK Machang Bubok II,5.32764,100.50294
12002540,ICT0233,Sentosa Residence,5.353794000000001,100.4714
12002542,ICT0236,SJK(C) Jit Sin,5.363758,100.462845
12000127,M0Y0127,Peladang Sg.Petani,5.6192400000000005,100.47349
12000133,M0Y0133,DSOP Sungai Petani,5.6323099999999995,100.48248000000001
12001291,MFP1291,(M2) Terminal Jalan Petri,5.6397699999999995,100.48807
12000276,MAL0276,Masjid Lama Sungai Bakap,5.221830000000001,100.49725
12000327,MAU0327,Taman Sukun Indah,5.31311,100.46412
12000336,MAU0336,Taman Pulasan Bukit Minyak,5.32445,100.44852
12000887,IDT0887,Sunshine Square,5.3255300000000005,100.28769
12001420,IGR1420,Sungai Tiram,5.30216,100.2761
12001424,IGR1424,Kilang Clarion,5.30821,100.28236
12000403,MBD0403,Jalan Damai,5.33871,100.47378
12001272,MFK1272,SRJK Permatang Tinggi,5.29968,100.47754
12001370,MGC1370,Taman Nirwana,5.32784,100.48575
12001681,MHK1681,Muda Paper II,5.28447,100.51924
12002579,ICT0225,Bandar Tasek Mutiara,5.283273,100.49255
12002581,ICT0228,Taman Seri Impian,5.320972,100.480637
12002583,ICT0230,Kilang Ayamas,5.325512000000001,100.48589799999999
12000056,M0P0056,SM Persendirian Jit Sin,5.36339,100.4632
12000799,MDA0799,Taman Jaya,5.35426,100.47074
12002593,ICT0427,Masjid Jamek Alma Jaya,5.322132,100.47837700000001
12002599,ICT0223,Kampung Tasek Junjung,5.297051000000001,100.52891
12000340,MAV0340,Balai Polis,5.33627,100.50874
12000789,MDA0789,Kampung Janggus,5.3438300000000005,100.49600000000001
12000796,MDA0796,Taman Bukit Indah,5.3501,100.47958
12001094,MFA1094,Pejabat MPSP,5.36985,100.43394
12001184,MFH1184,Shell Permatang To' Kandu,5.39384,100.41790999999999
12000350,MAW0350,(M3) Kilang Leader Steel,5.340330000000001,100.43884
12000351,MAW0351,Balai Polis Bukit Tengah,5.34661,100.43484000000001
12000355,MAW0355,Taman Indah,5.35732,100.42726
12001264,MFK1264,SMK Simpang Empat,5.2792,100.47689
12000177,MAA0177,(M2) Mydin Mall,5.36972,100.41516999999999
12000273,MAL0273,Balai Polis Sungai Bakap,5.21584,100.49724
12000328,MAU0328,Taman Sukun Indah,5.31439,100.46295
12000918,MEB0918,Super-Rider Motor Sdn Bhd,5.18075,100.48394
12001263,MFK1263,SMK Simpang Empat,5.27778,100.47686999999999
12001482,MGV1482,Perkampungan Jawi,5.21173,100.49705
12002338,ICT0075,RTC Jalan Simpang Empat,5.262094,100.472864
12002348,ICT0090,Masjid Kampung Setol,5.372746,100.409622
12000703,MCP0703,Masjid Permatang Kebun Sireh,5.36085,100.43733
12000958,MEI0958,Taman Desa Damai,5.36532,100.44327
12000267,MAK0267,Jalan Besar,5.13523,100.46947
12002346,ICT0083,Bank Rakyat Perda,5.366926,100.435744
12002347,ICT0084,Allagapas,5.36458,100.426927
12001099,MFB1099,Permatang Batu,5.36439,100.43153000000001
12002015,IJT2015,Flat Boon Siew,5.45615,100.28251
12000027,I0H0027,Dell,5.307167,100.29253
12000030,I0H0030,Brady Technology,5.305717,100.29559
12002049,IKH2049,Mini Circuits,5.294636,100.29098499999999
12002069,IKJ2069,Jeti Pulau Jerejak,5.34301,100.31121999999999
12000013,I0F0013,Intel PG12,5.328467,100.30004
12000874,IDT0874,Dynacraft Industries,5.305075,100.27721
12000807,IDC0807,Pepper Estate,5.454606,100.29941
12000812,IDF0812,Tenby School,5.458625,100.28201
12001411,IGQ1411,Menara KWSP,5.42341,100.3304
12000195,IAB0195,YGGS World,5.29422,100.27915
12000196,IAB0196,Pasar Batu Maung,5.29516,100.27979
12000240,IAE0240,Pejabat Pos Batu Maung,5.285419999999999,100.28663
12000296,IAR0296,(M3) Hotel Vistana,5.33655,100.2913
12000311,IAR0311,Taman Bukit Gambir,5.37312,100.29845
12000584,ICA0584,Masjid Jelutong,5.39272,100.31461
12000610,ICF0610,Kampung Kolam,5.41606,100.33669
12001805,IHU1805,Klinik Kesihatan,5.320778,100.27965999999999
12002304,ICT0033,Taman Sri Bayu,5.29714,100.2566
12002312,IFE1144,SK Batu  Maung,5.2812222,100.2825437
12002314,ICT0046,Mutiara Vista,5.398549,100.320515
12000360,IAX0360,Chinese Recreation Club,5.42517,100.3191
12000722,ICR0722,Flat Kelawei,5.4313,100.31533
